SubjectNum,Activity,mean
1,WALKING,1.28083333333333
1,WALKING_UPSTAIRS,1.28083333333333
1,WALKING_DOWNSTAIRS,1.28083333333333
1,SITTING,1.28083333333333
1,STANDING,1.28083333333333
1,LAYING,1.28083333333333
2,WALKING,1.28083333333333
2,WALKING_UPSTAIRS,1.28083333333333
2,WALKING_DOWNSTAIRS,1.28083333333333
2,SITTING,1.28083333333333
2,STANDING,1.28083333333333
2,LAYING,1.28083333333333
3,WALKING,1.28083333333333
3,WALKING_UPSTAIRS,1.28083333333333
3,WALKING_DOWNSTAIRS,1.28083333333333
3,SITTING,1.28083333333333
3,STANDING,1.28083333333333
3,LAYING,1.28083333333333
4,WALKING,1.28083333333333
4,WALKING_UPSTAIRS,1.28083333333333
4,WALKING_DOWNSTAIRS,1.28083333333333
4,SITTING,1.28083333333333
4,STANDING,1.28083333333333
4,LAYING,1.28083333333333
5,WALKING,1.28083333333333
5,WALKING_UPSTAIRS,1.28083333333333
5,WALKING_DOWNSTAIRS,1.28083333333333
5,SITTING,1.28083333333333
5,STANDING,1.28083333333333
5,LAYING,1.28083333333333
6,WALKING,1.28083333333333
6,WALKING_UPSTAIRS,1.28083333333333
6,WALKING_DOWNSTAIRS,1.28083333333333
6,SITTING,1.28083333333333
6,STANDING,1.28083333333333
6,LAYING,1.28083333333333
7,WALKING,1.28083333333333
7,WALKING_UPSTAIRS,1.28083333333333
7,WALKING_DOWNSTAIRS,1.28083333333333
7,SITTING,1.28083333333333
7,STANDING,1.28083333333333
7,LAYING,1.28083333333333
8,WALKING,1.28083333333333
8,WALKING_UPSTAIRS,1.28083333333333
8,WALKING_DOWNSTAIRS,1.28083333333333
8,SITTING,1.28083333333333
8,STANDING,1.28083333333333
8,LAYING,1.28083333333333
9,WALKING,1.28083333333333
9,WALKING_UPSTAIRS,1.28083333333333
9,WALKING_DOWNSTAIRS,1.28083333333333
9,SITTING,1.28083333333333
9,STANDING,1.28083333333333
9,LAYING,1.28083333333333
10,WALKING,1.28083333333333
10,WALKING_UPSTAIRS,1.28083333333333
10,WALKING_DOWNSTAIRS,1.28083333333333
10,SITTING,1.28083333333333
10,STANDING,1.28083333333333
10,LAYING,1.28083333333333
11,WALKING,1.28083333333333
11,WALKING_UPSTAIRS,1.28083333333333
11,WALKING_DOWNSTAIRS,1.28083333333333
11,SITTING,1.28083333333333
11,STANDING,1.28083333333333
11,LAYING,1.28083333333333
12,WALKING,1.28083333333333
12,WALKING_UPSTAIRS,1.28083333333333
12,WALKING_DOWNSTAIRS,1.28083333333333
12,SITTING,1.28083333333333
12,STANDING,1.28083333333333
12,LAYING,1.28083333333333
13,WALKING,1.28083333333333
13,WALKING_UPSTAIRS,1.28083333333333
13,WALKING_DOWNSTAIRS,1.28083333333333
13,SITTING,1.28083333333333
13,STANDING,1.28083333333333
13,LAYING,1.28083333333333
14,WALKING,1.28083333333333
14,WALKING_UPSTAIRS,1.28083333333333
14,WALKING_DOWNSTAIRS,1.28083333333333
14,SITTING,1.28083333333333
14,STANDING,1.28083333333333
14,LAYING,1.28083333333333
15,WALKING,1.28083333333333
15,WALKING_UPSTAIRS,1.28083333333333
15,WALKING_DOWNSTAIRS,1.28083333333333
15,SITTING,1.28083333333333
15,STANDING,1.28083333333333
15,LAYING,1.28083333333333
16,WALKING,1.28083333333333
16,WALKING_UPSTAIRS,1.28083333333333
16,WALKING_DOWNSTAIRS,1.28083333333333
16,SITTING,1.28083333333333
16,STANDING,1.28083333333333
16,LAYING,1.28083333333333
17,WALKING,1.28083333333333
17,WALKING_UPSTAIRS,1.28083333333333
17,WALKING_DOWNSTAIRS,1.28083333333333
17,SITTING,1.28083333333333
17,STANDING,1.28083333333333
17,LAYING,1.28083333333333
18,WALKING,1.28083333333333
18,WALKING_UPSTAIRS,1.28083333333333
18,WALKING_DOWNSTAIRS,1.28083333333333
18,SITTING,1.28083333333333
18,STANDING,1.28083333333333
18,LAYING,1.28083333333333
19,WALKING,1.28083333333333
19,WALKING_UPSTAIRS,1.28083333333333
19,WALKING_DOWNSTAIRS,1.28083333333333
19,SITTING,1.28083333333333
19,STANDING,1.28083333333333
19,LAYING,1.28083333333333
20,WALKING,1.28083333333333
20,WALKING_UPSTAIRS,1.28083333333333
20,WALKING_DOWNSTAIRS,1.28083333333333
20,SITTING,1.28083333333333
20,STANDING,1.28083333333333
20,LAYING,1.28083333333333
